first_name,last_name,committee,subcommittee,bioguide_id,note
Jack,Reed,Committee on Appropriations,Subcommittee on Financial Services and General Government,R000122,
Jack,Reed,Committee on Appropriations,"Subcommittee on Military Construction, Veterans Affairs, and Related Agencies",R000122,
Jack,Reed,Committee on Appropriations,"Subcommittee on Transportation, Housing and Urban Development, and Related Agencies",R000122,
Jack,Reed,Committee on Armed Services,Subcommittee on Airland,R000122,
Jack,Reed,Committee on Armed Services,Subcommittee on Cybersecurity,R000122,
Jack,Reed,Committee on Armed Services,Subcommittee on Emerging Threats and Capabilities,R000122,
Jack,Reed,Committee on Armed Services,Subcommittee on Personnel,R000122,
Jack,Reed,Committee on Armed Services,Subcommittee on Readiness and Management Support,R000122,
Jack,Reed,Committee on Armed Services,Subcommittee on Seapower,R000122,
Jack,Reed,Committee on Armed Services,Subcommittee on Strategic Forces,R000122,
Jack,Reed,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on Economic Policy,R000122,
Jack,Reed,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on Financial Institutions and Consumer Protection,R000122,
Jack,Reed,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Securities, Insurance, and Investment",R000122,
Jack,Reed,Select Committee on Intelligence,,R000122,
Guy,Reschenthaler,Appropriations,,R000610,
Pete,Ricketts,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on Economic Policy,R000618,
Pete,Ricketts,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on Financial Institutions and Consumer Protection,R000618,
Pete,Ricketts,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on National Security and International Trade and Finance,R000618,
Pete,Ricketts,Committee on Environment and Public Works,"Subcommittee on Clean Air, Climate, and Nuclear Innovation and Safety",R000618,
Pete,Ricketts,Committee on Environment and Public Works,"Subcommittee on Fisheries, Wildlife, and Water",R000618,
Pete,Ricketts,Committee on Environment and Public Works,Subcommittee on Transportation and Infrastructure,R000618,
Pete,Ricketts,Committee on Foreign Relations,"Subcommittee on East Asia, the Pacific, and International Cybersecurity Policy",R000618,
Pete,Ricketts,Committee on Foreign Relations,Subcommittee on Europe and Regional Security Cooperation,R000618,
Pete,Ricketts,Committee on Foreign Relations,"Subcommittee on State Department and USAID Management, International Operations, and Bilateral International Development",R000618,
Pete,Ricketts,Committee on the Budget,,R000618,
Josh,Riley,Agriculture,,R000622,
Josh,Riley,"Science, Space, and Technology",,R000622,
James,Risch,Committee on Energy and Natural Resources,Subcommittee on Energy,R000584,
James,Risch,Committee on Energy and Natural Resources,"Subcommittee on Public Lands, Forests, and Mining",R000584,
James,Risch,Committee on Energy and Natural Resources,Subcommittee on Water and Power,R000584,
James,Risch,Committee on Foreign Relations,Subcommittee on Africa and Global Health Policy,R000584,
James,Risch,Committee on Foreign Relations,"Subcommittee on East Asia, the Pacific, and International Cybersecurity Policy",R000584,
James,Risch,Committee on Foreign Relations,Subcommittee on Europe and Regional Security Cooperation,R000584,
James,Risch,Committee on Foreign Relations,"Subcommittee on Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy",R000584,
James,Risch,Committee on Foreign Relations,"Subcommittee on Near East, South Asia, Central Asia, and Counterterrorism",R000584,
James,Risch,Committee on Foreign Relations,"Subcommittee on State Department and USAID Management, International Operations, and Bilateral International Development",R000584,
James,Risch,Committee on Foreign Relations,"Subcommittee on Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights, and Global Women's Issues",R000584,
James,Risch,Committee on Small Business and Entrepreneurship,,R000584,
James,Risch,Select Committee on Ethics,,R000584,
James,Risch,Select Committee on Intelligence,,R000584,
James,Risch,United States Senate Caucus on International Narcotics Control,,R000584,
Luz,Rivas,Natural Resources,,R000620,
Luz,Rivas,"Science, Space, and Technology",,R000620,
Harold,Rogers,Appropriations,,R000395,
Mike,Rogers,Armed Services,,R000575,
John,Rose,Agriculture,,R000612,
John,Rose,Financial Services,,R000612,
Jacky,Rosen,Committee on Armed Services,Subcommittee on Cybersecurity,R000608,
Jacky,Rosen,Committee on Armed Services,Subcommittee on Emerging Threats and Capabilities,R000608,
Jacky,Rosen,Committee on Armed Services,Subcommittee on Strategic Forces,R000608,
Jacky,Rosen,"Committee on Commerce, Science, and Transportation","Subcommittee on Aviation, Space, and Innovation",R000608,
Jacky,Rosen,"Committee on Commerce, Science, and Transportation","Subcommittee on Science, Manufacturing, and Competitiveness",R000608,
Jacky,Rosen,"Committee on Commerce, Science, and Transportation",Subcommittee on Telecommunications and Media,R000608,
Jacky,Rosen,Committee on Foreign Relations,"Subcommittee on Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy",R000608,
Jacky,Rosen,Committee on Foreign Relations,"Subcommittee on Near East, South Asia, Central Asia, and Counterterrorism",R000608,
Jacky,Rosen,Committee on Foreign Relations,"Subcommittee on Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights, and Global Women's Issues",R000608,
Jacky,Rosen,Committee on Small Business and Entrepreneurship,,R000608,
Deborah,Ross,Ethics,,R000305,
Deborah,Ross,Judiciary,,R000305,
Deborah,Ross,"Science, Space, and Technology",,R000305,
Mike,Rounds,Commission on Security and Cooperation in Europe,,R000605,
Mike,Rounds,Committee on Appropriations,"Subcommittee on Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",R000605,
Mike,Rounds,Committee on Appropriations,"Subcommittee on Department of Interior, Environment, and Related Agencies",R000605,
Mike,Rounds,Committee on Appropriations,"Subcommittee on Departments of Labor, Health and Human Services, and Education, and Related Agencies",R000605,
Mike,Rounds,Committee on Appropriations,Subcommittee on Energy and Water Development,R000605,
Mike,Rounds,Committee on Appropriations,Subcommittee on Legislative Branch,R000605,
Mike,Rounds,Committee on Appropriations,"Subcommittee on Military Construction, Veterans Affairs, and Related Agencies",R000605,
Mike,Rounds,Committee on Armed Services,Subcommittee on Cybersecurity,R000605,
Mike,Rounds,Committee on Armed Services,Subcommittee on Emerging Threats and Capabilities,R000605,
Mike,Rounds,Committee on Armed Services,Subcommittee on Strategic Forces,R000605,
Mike,Rounds,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on Economic Policy,R000605,
Mike,Rounds,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Housing, Transportation, and Community Development",R000605,
Mike,Rounds,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Securities, Insurance, and Investment",R000605,
Mike,Rounds,Committee on Indian Affairs,,R000605,
Mike,Rounds,Select Committee on Intelligence,,R000605,
David,Rouzer,Agriculture,,R000603,
David,Rouzer,"Science, Space, and Technology",,R000603,
David,Rouzer,Transportation and Infrastructure,,R000603,
Chip,Roy,Budget,,R000614,
Chip,Roy,Judiciary,,R000614,
Chip,Roy,Rules,,R000614,
Raul,Ruiz,Energy and Commerce,,R000599,
Michael,Rulli,Education and Workforce,,R000619,
Michael,Rulli,Energy and Commerce,,R000619,
John,Rutherford,Appropriations,,R000609,
John,Rutherford,Ethics,,R000609,
Patrick,Ryan,Armed Services,,R000579,
Patrick,Ryan,Transportation and Infrastructure,,R000579,
Maria,Salazar,Financial Services,,S000168,
Maria,Salazar,Foreign Affairs,,S000168,
Andrea,Salinas,Agriculture,,S001226,
Andrea,Salinas,"Science, Space, and Technology",,S001226,
Linda,Sanchez,Ways and Means,,S001156,
Bernard,Sanders,Committee on Environment and Public Works,"Subcommittee on Chemical Safety, Waste Management, Environmental Justice, and Regulatory Oversight",S000033,
Bernard,Sanders,Committee on Environment and Public Works,"Subcommittee on Clean Air, Climate, and Nuclear Innovation and Safety",S000033,
Bernard,Sanders,Committee on Environment and Public Works,"Subcommittee on Fisheries, Wildlife, and Water",S000033,
Bernard,Sanders,Committee on Finance,Subcommittee on Health Care,S000033,
Bernard,Sanders,Committee on Finance,"Subcommittee on Social Security, Pensions, and Family Policy",S000033,
Bernard,Sanders,Committee on Finance,Subcommittee on Taxation and IRS Oversight,S000033,
Bernard,Sanders,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Education and the American Family,S000033,
Bernard,Sanders,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Employment and Workplace Safety,S000033,
Bernard,Sanders,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Primary Health and Retirement Security,S000033,
Bernard,Sanders,Committee on the Budget,,S000033,
Bernard,Sanders,Committee on Veterans' Affairs,,S000033,
Steve,Scalise,,,S001176,
Mary,Scanlon,Judiciary,,S001205,
Mary,Scanlon,Rules,,S001205,
Janice,Schakowsky,Energy and Commerce,,S001145,
Brian,Schatz,Committee on Appropriations,"Subcommittee on Commerce, Justice, Science, and Related Agencies",S001194,
Brian,Schatz,Committee on Appropriations,Subcommittee on Department of Defense,S001194,
Brian,Schatz,Committee on Appropriations,"Subcommittee on Departments of Labor, Health and Human Services, and Education, and Related Agencies",S001194,
Brian,Schatz,Committee on Appropriations,"Subcommittee on Military Construction, Veterans Affairs, and Related Agencies",S001194,
Brian,Schatz,Committee on Appropriations,"Subcommittee on State, Foreign Operations, and Related Programs",S001194,
Brian,Schatz,Committee on Appropriations,"Subcommittee on Transportation, Housing and Urban Development, and Related Agencies",S001194,
Brian,Schatz,"Committee on Commerce, Science, and Transportation","Subcommittee on Coast Guard, Maritime, and Fisheries",S001194,
Brian,Schatz,"Committee on Commerce, Science, and Transportation","Subcommittee on Consumer Protection, Technology, and Data Privacy",S001194,
Brian,Schatz,"Committee on Commerce, Science, and Transportation","Subcommittee on Surface Transportation, Freight, Pipelines, and Safety",S001194,
Brian,Schatz,"Committee on Commerce, Science, and Transportation",Subcommittee on Telecommunications and Media,S001194,
Brian,Schatz,Committee on Foreign Relations,"Subcommittee on East Asia, the Pacific, and International Cybersecurity Policy",S001194,
Brian,Schatz,Committee on Foreign Relations,Subcommittee on Europe and Regional Security Cooperation,S001194,
Brian,Schatz,Committee on Foreign Relations,"Subcommittee on Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy",S001194,
Brian,Schatz,Committee on Indian Affairs,,S001194,
Brian,Schatz,Select Committee on Ethics,,S001194,
Adam,Schiff,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Commodities, Derivatives, Risk Management, and Trade",S001150,
Adam,Schiff,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology",S001150,
Adam,Schiff,Committee on Environment and Public Works,"Subcommittee on Clean Air, Climate, and Nuclear Innovation and Safety",S001150,
Adam,Schiff,Committee on Environment and Public Works,"Subcommittee on Fisheries, Wildlife, and Water",S001150,
Adam,Schiff,Committee on Environment and Public Works,Subcommittee on Transportation and Infrastructure,S001150,
