first_name,last_name,committee,subcommittee,cid,fec_id,bioguide_id,,,,,,fec_id_prev
John,Boozman,"Committee on Agriculture, Nutrition, & Forestry","Subcommittee on Food & Nutrition, Specialty Crops, Organics, & Research",N00013873,S0AR00150,B001236,,,,,,S0AR00150
John,Boozman,"Committee on Agriculture, Nutrition, & Forestry","Subcommittee on Livestock, Dairy, Poultry, & Food Safety",N00013873,S0AR00150,B001236,,,,,,S0AR00150
John,Boozman,"Committee on Agriculture, Nutrition, & Forestry","Subcommittee on Rural Development, Energy, & Credit",N00013873,S0AR00150,B001236,,,,,,S0AR00150
John,Boozman,Committee on Appropriations,Subcommittee on Dept of Defense,N00013873,S0AR00150,B001236,,,,,,S0AR00150
John,Boozman,Committee on Appropriations,"Subcommittee on Depts of Labor, Health & Human Services, & Education, & Related Agencies",N00013873,S0AR00150,B001236,,,,,,S0AR00150
John,Boozman,Committee on Appropriations,Subcommittee on Financial Services & General Govt,N00013873,S0AR00150,B001236,,,,,,S0AR00150
John,Boozman,Committee on Appropriations,"Subcommittee on Military Construction, Veterans Affairs, & Related Agencies",N00013873,S0AR00150,B001236,,,,,,S0AR00150
John,Boozman,Committee on Appropriations,"Subcommittee on State, Foreign Operations, & Related Programs",N00013873,S0AR00150,B001236,,,,,,S0AR00150
John,Boozman,Committee on Appropriations,"Subcommittee on Transportation, Housing & Urban Development, & Related Agencies",N00013873,S0AR00150,B001236,,,,,,S0AR00150
John,Boozman,Committee on Environment & Public Works,"Subcommittee on Clean Air, Climate, & Nuclear Innovation & Safety",N00013873,S0AR00150,B001236,,,,,,S0AR00150
John,Boozman,Committee on Environment & Public Works,"Subcommittee on Fisheries, Wildlife, & Water",N00013873,S0AR00150,B001236,,,,,,S0AR00150
John,Boozman,Committee on Environment & Public Works,Subcommittee on Transportation & Infrastructure,N00013873,S0AR00150,B001236,,,,,,S0AR00150
John,Boozman,Committee on Rules & Administration,,N00013873,S0AR00150,B001236,,,,,,S0AR00150
John,Boozman,Committee on Veterans' Affairs,,N00013873,S0AR00150,B001236,,,,,,S0AR00150
Mike,Bost,Agriculture,,N00035420,H4IL12060,B001295,,,,,,H4IL12060
Mike,Bost,Transportation & Infrastructure,,N00035420,H4IL12060,B001295,,,,,,H4IL12060
Mike,Bost,Veterans' Affairs,,N00035420,H4IL12060,B001295,,,,,,H4IL12060
