bioguide_id,cid,first_name,last_name,slug_url,top_contributors,top_industries,contributors_period_start,contributors_period_end,contributors_period,industries_period_start,industries_period_end,industries_period
M001239,N00045930,John,McGuire,https://www.opensecrets.org/members-of-congress/summary?cid=N00045930,,,,,,,,
M001229,N00055172,LaMonica,McIver,https://www.opensecrets.org/members-of-congress/mciver-lamonica/summary?cid=N00055172&cycle=2024,"Service Employees International Union ($15,000); America's Credit Unions ($10,300); Laborers Union ($10,000); Purpose PAC ($10,000); Ashton Building Co ($9,900)","Real Estate ($55,860); Leadership PACs ($51,000); Lawyers/Law Firms ($43,678); Democratic/Liberal ($30,550); Building Trade Unions ($27,000)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
M001137,N00001171,Gregory,Meeks,https://www.opensecrets.org/members-of-congress/meeks-gregory/summary?cid=N00001171&cycle=2024,"American Israel Public Affairs Cmte ($448,828); MetLife Inc ($48,550); Bank Of New York Mellon ($35,800); JStreetPAC ($32,750); NorPAC ($23,350)","Pro-Israel ($510,128); Securities & Investment ($409,603); Real Estate ($198,750); Insurance ($172,775); Commercial Banks ($163,600)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
M001226,N00049686,Robert,Menendez,https://www.opensecrets.org/members-of-congress/menendez-rob/summary?cid=N00049686&cycle=2024,"American Israel Public Affairs Cmte ($235,430); Lowenstein Sandler Llp ($35,050); Blackstone Group ($19,800); Ironstate Holdings ($19,200); Urby LLC ($16,600)","Pro-Israel ($256,118); Lawyers/Law Firms ($226,686); Real Estate ($164,260); Lobbyists ($146,812); Leadership PACs ($138,102)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
M001188,N00034547,Grace,Meng,https://www.opensecrets.org/members-of-congress/grace-meng/summary?cid=N00034547,"American Israel Public Affairs Cmte ($466,548); New York Life Insurance ($10,700); National Assn of Realtors ($10,500); Service Employees International Union ($10,440); Air Line Pilots Assn ($10,000)","Pro-Israel ($478,908); Real Estate ($103,105); Securities & Investment ($81,904); Health Professionals ($74,224); Lawyers/Law Firms ($62,083)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
M001176,N00029303,Jeff,Merkley,https://www.opensecrets.org/members-of-congress/merkley-jeff/summary?cid=N00029303&cycle=2024,"League of Conservation Voters ($54,344); Oregon Health & Science University ($48,117); State of Oregon ($33,017); University of Oregon ($31,120); Oregon State University ($28,048)","Retired ($2,005,764); Democratic/Liberal ($588,437); Education ($357,386); Leadership PACs ($287,600); Lawyers/Law Firms ($245,798)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
M001233,N00054523,Mark,Messmer,https://www.opensecrets.org/members-of-congress/mark-messmer/summary?cid=N00054523,"American Israel Public Affairs Cmte ($256,439); Thompson Thrift ($19,800); Wabash Valley Produce ($19,800); Koch Enterprises ($16,500); Indiana Cardinal ($13,800)","Pro-Israel ($397,385); Retired ($96,534); Leadership PACs ($83,000); Real Estate ($79,405); Lawyers/Law Firms ($49,599)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
M001204,N00029416,Daniel,Meuser,https://www.opensecrets.org/members-of-congress/meuser-dan/summary?cid=N00029416&cycle=2024,"Pride Mobility Products ($32,300); Pace-O-Matic Inc ($15,335); Robindale Energy Services ($13,200); PNC Financial Services ($12,500); Asher'S Chocolates ($12,400)","Securities & Investment ($135,050); Commercial Banks ($130,650); Insurance ($101,160); Real Estate ($96,414); Retired ($88,026)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
M000687,N00001799,Kweisi,Mfume,https://www.opensecrets.org/members-of-congress/kweisi-mfume/summary?cid=N00001799,"American Israel Public Affairs Cmte ($11,000); American Crystal Sugar ($10,000); American Federation of State/Cnty/Munic Employees ($10,000); Home Depot ($10,000); Machinists/Aerospace Workers Union ($10,000)","Public Sector Unions ($53,500); Pro-Israel ($30,750); Building Trade Unions ($30,000); Transportation Unions ($25,000); Misc Unions ($20,000)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
M001205,N00041542,Carol,Miller,https://www.opensecrets.org/members-of-congress/miller-carol/summary?cid=N00041542&cycle=2024,"Select Medical Corp ($23,300); American Israel Public Affairs Cmte ($22,000); Cole Automotive Group ($19,800); Wvu Medicine ($16,500); Duke Energy ($13,500)","Leadership PACs ($117,600); Insurance ($111,600); Health Professionals ($109,600); Automotive ($87,400); Lobbyists ($84,333)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
M001211,N00045703,Mary,Miller,https://www.opensecrets.org/members-of-congress/miller-mary/summary?cid=N00045703&cycle=2024,"House Freedom Fund ($45,775); Indeck Energy Services ($13,200); American Crystal Sugar ($10,000); National Auto Dealers Assn ($10,000); Structural Steel Fabrication ($9,800)","Retired ($237,024); Republican/Conservative ($200,938); Crop Production & Basic Processing ($60,689); Real Estate ($29,898); Leadership PACs ($22,500)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
M001222,N00048277,Max,Miller,https://www.opensecrets.org/members-of-congress/miller-max/summary?cid=N00048277&cycle=2024,"Republican Jewish Coalition ($68,351); American Israel Public Affairs Cmte ($44,150); Preston Superstore ($26,400); Blackstone Group ($23,800); Boli Group ($21,000)","Pro-Israel ($242,355); Real Estate ($168,455); Securities & Investment ($168,365); Retired ($121,150); Leadership PACs ($107,400)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
M001215,N00029495,Mariannette,Miller-Meeks,https://www.opensecrets.org/members-of-congress/miller-meeks-mariannette/summary?cid=N00029495&cycle=2024,"New York Cancer & Blood Specialists ($53,883); DaVita Inc ($29,500); Poet LLC ($21,600); Consumer Technology Assn ($19,900); Sukup Manufacturing ($18,700)","Retired ($569,311); Leadership PACs ($542,173); Health Professionals ($409,229); Securities & Investment ($340,557); Real Estate ($228,477)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
M001216,N00048179,Cory,Mills,https://www.opensecrets.org/members-of-congress/cory-mills/summary?cid=N00048179,"American Israel Public Affairs Cmte ($23,350); Engineering & Computer Simulations ($18,404); Full Sail ($12,000); Robinhood Markets ($11,750); Certified Financial Group ($10,000)","Retired ($163,263); Republican/Conservative ($148,124); Real Estate ($65,940); Leadership PACs ($62,500); Lobbyists ($50,570)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
M001241,N00040866,Dave,Min,https://www.opensecrets.org/members-of-congress/dave-min/summary?cid=N00040866&cycle=2024,"University of California/Irvine ($72,904); Million Dollar Baby Co ($32,998); WilmerHale Llp ($27,450); Google Inc ($26,672); AmeriPAC: The Fund for a Greater America ($24,325)","Retired ($1,048,711); Lawyers/Law Firms ($613,271); Democratic/Liberal ($392,098); Education ($350,995); Securities & Investment ($296,129)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
M001194,N00036275,John,Moolenaar,https://www.opensecrets.org/members-of-congress/moolenaar-john/summary?cid=N00036275&cycle=2024,"Miller Energy Co ($26,899); Cadillac Casting ($26,200); Michigan Research Institute ($22,400); American Israel Public Affairs Cmte ($21,500); Rdv Corp ($19,875)","Retired ($132,227); Lobbyists ($108,690); Real Estate ($99,650); Securities & Investment ($81,075); Health Professionals ($74,239)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
