bioguide_id,first_name,last_name,party,state,chamber,committee_assignments
D000616,Scott,DesJarlais,Republican,TN,House,Agriculture | Armed Services
D000635,Maxine,Dexter,Democrat,OR,House,Natural Resources | Veterans' Affairs
D000600,Mario,Diaz-Balart,Republican,FL,House,Appropriations
D000624,Debbie,Dingell,Democrat,MI,House,Energy and Commerce | Natural Resources
D000399,Lloyd,Doggett,Democrat,TX,House,Budget | Joint Committee on Taxation | Ways and Means
D000032,Byron,Donalds,Republican,FL,House,Financial Services | Oversight and Government Reform
D000634,Troy,Downing,Republican,MT,House,Financial Services | Small Business
D000622,Tammy,Duckworth,Democrat,IL,Senate,"Committee on Armed Services: Subcommittee on Airland; Subcommittee on Personnel; Subcommittee on Readiness and Management Support | Committee on Commerce, Science, and Transportation: Subcommittee on Aviation, Space, and Innovation (Ranking); Subcommittee on Surface Transportation, Freight, Pipelines, and Safety; Subcommittee on Telecommunications and Media | Committee on Foreign Relations: Subcommittee on Europe and Regional Security Cooperation; Subcommittee on Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy (Ranking); Subcommittee on State Department and USAID Management, International Operations, and Bilateral International Development | Committee on Veterans' Affairs"
D000628,Neal,Dunn,Republican,FL,House,Energy and Commerce | Select Comm on the Strategic Competition US and China
D000563,Richard,Durbin,Democrat,IL,Senate,"Committee on Agriculture, Nutrition, and Forestry: Subcommittee on Commodities, Derivatives, Risk Management, and Trade; Subcommittee on Livestock, Dairy, Poultry, and Food Safety | Committee on Appropriations: Subcommittee on Department of Defense; Subcommittee on Departments of Labor, Health and Human Services, and Education, and Related Agencies; Subcommittee on Energy and Water Development; Subcommittee on Financial Services and General Government; Subcommittee on State, Foreign Operations, and Related Programs; Subcommittee on Transportation, Housing and Urban Development, and Related Agencies | Committee on the Judiciary: Subcommittee on Crime and Counterterrorism (Ranking)"
E000246,Chuck,Edwards,Republican,NC,House,Appropriations | Budget
E000301,Sarah,Elfreth,Democrat,MD,House,Armed Services | Natural Resources
E000071,Jake,Ellzey,Republican,TX,House,Appropriations | Small Business
E000294,Tom,Emmer,Republican,MN,House,Financial Services
E000295,Joni,Ernst,Republican,IA,Senate,"Committee on Agriculture, Nutrition, and Forestry: Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology; Subcommittee on Livestock, Dairy, Poultry, and Food Safety; Subcommittee on Rural Development, Energy, and Credit (Chairman) | Committee on Armed Services: Subcommittee on Cybersecurity; Subcommittee on Emerging Threats and Capabilities (Chairman); Subcommittee on Personnel | Committee on Homeland Security and Governmental Affairs: Subcommittee on Border Management, Federal Workforce, and Regulatory Affairs; Subcommittee on Disaster Management, District of Columbia, and Census | Committee on Small Business and Entrepreneurship"
E000299,Veronica,Escobar,Democrat,TX,House,Appropriations | Budget
E000297,Adriano,Espaillat,Democrat,NY,House,Appropriations
E000298,Ron,Estes,Republican,KS,House,Budget | Ways and Means
E000296,Dwight,Evans,Democrat,PA,House,Ways and Means
E000300,Gabe,Evans,Republican,CO,House,Homeland Security | Energy and Commerce
E000235,Mike,Ezell,Republican,MS,House,Natural Resources | Transportation and Infrastructure
F000246,Pat,Fallon,Republican,TX,House,Armed Services | Oversight and Government Reform | Intelligence
F000482,Julie,Fedorchak,Republican,ND,House,Energy and Commerce
F000446,Randy,Feenstra,Republican,IA,House,Agriculture | Ways and Means
F000479,John,Fetterman,Democrat,PA,Senate,"Commission on Security and Cooperation in Europe | Committee on Agriculture, Nutrition, and Forestry: Subcommittee on Commodities, Derivatives, Risk Management, and Trade; Subcommittee on Food and Nutrition, Specialty Crops, Organics, and Research | Committee on Commerce, Science, and Transportation: Subcommittee on Aviation, Space, and Innovation; Subcommittee on Telecommunications and Media | Committee on Homeland Security and Governmental Affairs: Permanent Subcommittee on Investigations; Subcommittee on Border Management, Federal Workforce, and Regulatory Affairs (Ranking)"
F000110,Cleo,Fields,Democrat,LA,House,Financial Services
F000481,Shomari,Figures,Democrat,AL,House,Agriculture | Transportation and Infrastructure
F000484,Randy,Fine,Republican,FL,House,Education and Workforce | Foreign Affairs
F000475,Brad,Finstad,Republican,MN,House,Agriculture | Armed Services | Small Business
F000470,Michelle,Fischbach,Republican,MN,House,Rules | Ways and Means
