first,last,cid,feccandid
Troy,Carter,N00025766,H2LA02149
Matt,Cartwright,N00034128,H2PA17079
Nick,Cartwright,N00048656,H2AR02087
Liz,Caruso,N00049591,H2ME02212
Manuel,Casanova,N00049324,H2NY16073
Greg,Casar,N00049855,H2TX35144
Ed,Case,N00025882,H2HI02128
Keith,Casey,N00038807,H6TX14132
Sandy,Casey,N00048902,H2TN03243
Larry,Casha,N00049318,H2NJ11194
Brandon,Casper,N00049876,H2UT03264
Michael,Cassidy,N00050660,H2MS03151
Thomas,Casson,N00036093,H4AL03053
Christian,Castelli,N00049656,H2NC07161
Matt,Castelli,N00049148,H2NY21164
Sean,Casten,N00041338,H8IL06139
Jose,Castillo,N00044862,H0FL09115
Saul,Castillo,N00047925,H2CA42171
Kathy,Castor,N00027514,H6FL11126
John,Castorani,N00045469,H2VA07154
Joaquin,Castro,N00033316,H2TX35011
John,Castro,N00048585,H2TX06384
Ryan,Catala,N00049175,H2TX12101
Kenneth,Cates,N00051304,S2AR00131
Nick,Catucci,N00050415,H2NJ12135
Joseph,Cavagna,N00048678,H2FL07172
Vincent,Cavaleri,N00050253,H2WA01252
Crystal,Cavalier,N00049659,H2NC07195
Ken,Cavanaugh,N00051921,H2NV01348
Dean,Cavaretta,N00050178,H2PA17145
Aizar,Cavazos,N00049342,H2TX15120
Mark,Cavener,N00046850,H2OR02164
Madison,Cawthorn,N00046252,H0NC11233
Marc,Cenedella,N00051212,H2NY23194
Brent,Centers,N00048554,H2OH01186
Ingrid,Centurion,N00049006,H2SC01085
Jesse,Cerrotti,N00048267,H2NY12189
Steve,Chabot,N00003689,H8OH01043
Chris,Chaffee,N00036537,S6MD03557
Amy,Chai,N00048971,H2CT03102
Justin,Chaires,N00048551,H2NY20117
Chris,Chambers,N00050593,H2FL15209
Gary,Chambers,N00047734,S2LA00150
Chris,Champion,N00051357,H2CA37353
Sea,Chan,N00049356,H2WA09156
Michael,Chandler,N00035193,H2SC04121
Tharon,Chandler,N00039842,H6TN07146
Dave,Chapman,N00051664,H2WA08240
John,Chapman,N00048573,H2SC06118
Matthew,Chappell,N00049897,H2VA11214
Derek,Chartrand,N00047034,H0WA01124
Amanda,Chase,N00049887,H2VA07204
Jonathan,Chavez,N00049531,H2GA04201
Michaela,Chavez,N00048260,H2NM01284
Lori,Chavez-Deremer,N00048900,H2OR05209
Iymen,Chehade,N00050108,H2IL03170
Jay,Chen,N00034000,H2CA39136
Jamie,Cheney,N00051210,H2NY19135
Liz,Cheney,N00035504,H6WY00159
John,Cheng,N00052088,S2OH00550
Sheila,Cherfilus-McCormick,N00043504,H8FL20032
Patricia,Chesbro,N00051467,S2AK00226
Steve,Chess,N00048194,H2FL22130
