first_name,last_name,committee,subcommittee
Ted,Cruz,"Committee on Commerce, Science, and Transportation","Subcommittee on Surface Transportation, Freight, Pipelines, and Safety"
Ted,Cruz,"Committee on Commerce, Science, and Transportation",Subcommittee on Telecommunications and Media
Ted,Cruz,Committee on Foreign Relations,Subcommittee on Africa and Global Health Policy
Ted,Cruz,Committee on Foreign Relations,"Subcommittee on Near East, South Asia, Central Asia, and Counterterrorism"
Ted,Cruz,Committee on Foreign Relations,"Subcommittee on Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights, and Global Women's Issues"
Ted,Cruz,Committee on Rules and Administration,
Ted,Cruz,Committee on the Judiciary,Subcommittee on Border Security and Immigration
Ted,Cruz,Committee on the Judiciary,Subcommittee on Crime and Counterterrorism
Ted,Cruz,Committee on the Judiciary,"Subcommittee on Federal Courts, Oversight, Agency Action, and Federal Rights"
Ted,Cruz,Committee on the Judiciary,Subcommittee on the Constitution
John,Curtis,"Committee on Commerce, Science, and Transportation","Subcommittee on Coast Guard, Maritime, and Fisheries"
John,Curtis,"Committee on Commerce, Science, and Transportation","Subcommittee on Consumer Protection, Technology, and Data Privacy"
John,Curtis,"Committee on Commerce, Science, and Transportation",Subcommittee on Telecommunications and Media
John,Curtis,Committee on Environment and Public Works,"Subcommittee on Chemical Safety, Waste Management, Environmental Justice, and Regulatory Oversight"
John,Curtis,Committee on Environment and Public Works,"Subcommittee on Clean Air, Climate, and Nuclear Innovation and Safety"
John,Curtis,Committee on Environment and Public Works,Subcommittee on Transportation and Infrastructure
John,Curtis,Committee on Foreign Relations,"Subcommittee on East Asia, the Pacific, and International Cybersecurity Policy"
John,Curtis,Committee on Foreign Relations,Subcommittee on Europe and Regional Security Cooperation
John,Curtis,Committee on Foreign Relations,"Subcommittee on Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights, and Global Women's Issues"
John,Curtis,Committee on Small Business and Entrepreneurship,
Steve,Daines,Committee on Energy and Natural Resources,Subcommittee on National Parks
Steve,Daines,Committee on Energy and Natural Resources,"Subcommittee on Public Lands, Forests, and Mining"
Steve,Daines,Committee on Energy and Natural Resources,Subcommittee on Water and Power
Steve,Daines,Committee on Finance,"Subcommittee on Energy, Natural Resources, and Infrastructure"
Steve,Daines,Committee on Finance,Subcommittee on Health Care
Steve,Daines,Committee on Finance,"Subcommittee on International Trade, Customs, and Global Competitiveness"
Steve,Daines,Committee on Foreign Relations,Subcommittee on Africa and Global Health Policy
Steve,Daines,Committee on Foreign Relations,Subcommittee on Europe and Regional Security Cooperation
Steve,Daines,Committee on Foreign Relations,"Subcommittee on Near East, South Asia, Central Asia, and Counterterrorism"
Steve,Daines,Committee on Indian Affairs,
Tammy,Duckworth,Committee on Armed Services,Subcommittee on Airland
Tammy,Duckworth,Committee on Armed Services,Subcommittee on Personnel
Tammy,Duckworth,Committee on Armed Services,Subcommittee on Readiness and Management Support
Tammy,Duckworth,"Committee on Commerce, Science, and Transportation","Subcommittee on Aviation, Space, and Innovation"
Tammy,Duckworth,"Committee on Commerce, Science, and Transportation","Subcommittee on Surface Transportation, Freight, Pipelines, and Safety"
Tammy,Duckworth,"Committee on Commerce, Science, and Transportation",Subcommittee on Telecommunications and Media
Tammy,Duckworth,Committee on Foreign Relations,Subcommittee on Europe and Regional Security Cooperation
Tammy,Duckworth,Committee on Foreign Relations,"Subcommittee on Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy"
Tammy,Duckworth,Committee on Foreign Relations,"Subcommittee on State Department and USAID Management, International Operations, and Bilateral International Development"
Tammy,Duckworth,Committee on Veterans' Affairs,
Richard,Durbin,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Commodities, Derivatives, Risk Management, and Trade"
Richard,Durbin,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Livestock, Dairy, Poultry, and Food Safety"
Richard,Durbin,Committee on Appropriations,Subcommittee on Department of Defense
Richard,Durbin,Committee on Appropriations,"Subcommittee on Departments of Labor, Health and Human Services, and Education, and Related Agencies"
Richard,Durbin,Committee on Appropriations,Subcommittee on Energy and Water Development
Richard,Durbin,Committee on Appropriations,Subcommittee on Financial Services and General Government
Richard,Durbin,Committee on Appropriations,"Subcommittee on State, Foreign Operations, and Related Programs"
Richard,Durbin,Committee on Appropriations,"Subcommittee on Transportation, Housing and Urban Development, and Related Agencies"
Richard,Durbin,Committee on the Judiciary,Subcommittee on Crime and Counterterrorism
Joni,Ernst,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology"
Joni,Ernst,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Livestock, Dairy, Poultry, and Food Safety"
Joni,Ernst,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Rural Development, Energy, and Credit"
Joni,Ernst,Committee on Armed Services,Subcommittee on Cybersecurity
Joni,Ernst,Committee on Armed Services,Subcommittee on Emerging Threats and Capabilities
Joni,Ernst,Committee on Armed Services,Subcommittee on Personnel
Joni,Ernst,Committee on Homeland Security and Governmental Affairs,"Subcommittee on Border Management, Federal Workforce, and Regulatory Affairs"
Joni,Ernst,Committee on Homeland Security and Governmental Affairs,"Subcommittee on Disaster Management, District of Columbia, and Census"
Joni,Ernst,Committee on Small Business and Entrepreneurship,
John,Fetterman,Commission on Security and Cooperation in Europe,
