first_name,last_name,committee,subcommittee,cid,fec_id,bioguide_id,,,,,,fec_id_prev
Michael,Bennet,Select Committee on Intelligence,,N00030608,S0CO00211,B001267,,,,,,S0CO00211
Cliff,Bentz,Energy and Commerce,,N00045773,H0OR02127,B000668,,,,,,H0OR02127
Cliff,Bentz,Natural Resources,,N00045773,H0OR02127,B000668,,,,,,H0OR02127
Ami,Bera,Foreign Affairs,,N00030717,H0CA03078,B001287,,,,,,H0CA03078
Ami,Bera,Intelligence,,N00030717,H0CA03078,B001287,,,,,,H0CA03078
Jack,Bergman,Armed Services,,N00039533,H6MI01226,B001301,,,,,,H6MI01226
Jack,Bergman,Budget,,N00039533,H6MI01226,B001301,,,,,,H6MI01226
Jack,Bergman,Veterans' Affairs,,N00039533,H6MI01226,B001301,,,,,,H6MI01226
Donald,Beyer,Ways and Means,,N00036018,H4VA08224,B001292,,,,,,
Stephanie,Bice,Appropriations,,N00044579,H0OK05205,B000740,,,,,,H0OK05205
Stephanie,Bice,House Administration,,N00044579,H0OK05205,B000740,,,,,,H0OK05205
Andy,Biggs,Judiciary,,N00039293,H6AZ05083,B001302,,,,,,H6AZ05083
Andy,Biggs,Oversight and Government Reform,,N00039293,H6AZ05083,B001302,,,,,,H6AZ05083
Sheri,Biggs,Foreign Affairs,,,H4SC01313,B001325,,,,,,
Sheri,Biggs,Homeland Security,,,H4SC01313,B001325,,,,,,
Sheri,Biggs,"Science, Space, and Technology",,,H4SC01313,B001325,,,,,,
Gus,Bilirakis,Energy and Commerce,,N00027462,H6FL09070,B001257,,,,,,H6FL09070
Gus,Bilirakis,Select Comm on the Strategic Competition US and China,,N00027462,H6FL09070,B001257,,,,,,H6FL09070
Sanford,Bishop,Appropriations,,N00002674,H2GA02031,B000490,,,,,,H2GA02031
Marsha,Blackburn,"Committee on Commerce, Science, and Transportation","Subcommittee on Consumer Protection, Technology, and Data Privacy",,S8TN00337,B001243,,,,,,
Marsha,Blackburn,"Committee on Commerce, Science, and Transportation","Subcommittee on Science, Manufacturing, and Competitiveness",,S8TN00337,B001243,,,,,,
Marsha,Blackburn,"Committee on Commerce, Science, and Transportation",Subcommittee on Telecommunications and Media,,S8TN00337,B001243,,,,,,
Marsha,Blackburn,Committee on Finance,Subcommittee on Health Care,,S8TN00337,B001243,,,,,,
Marsha,Blackburn,Committee on Finance,"Subcommittee on Social Security, Pensions, and Family Policy",,S8TN00337,B001243,,,,,,
Marsha,Blackburn,Committee on Finance,Subcommittee on Taxation and IRS Oversight,,S8TN00337,B001243,,,,,,
