first_name,last_name,committee,subcommittee
Gilbert,Cisneros,Armed Services,
Gilbert,Cisneros,Small Business,
Katherine,Clark,,
Yvette,Clarke,Energy and Commerce,
Emanuel,Cleaver,Financial Services,
Ben,Cline,Appropriations,
Ben,Cline,Budget,
Ben,Cline,Intelligence,
Ben,Cline,Judiciary,
Michael,Cloud,Appropriations,
Michael,Cloud,Oversight and Government Reform,
James,Clyburn,Appropriations,
Andrew,Clyde,Appropriations,
Andrew,Clyde,Budget,
Steve,Cohen,Intelligence,
Steve,Cohen,Judiciary,
Tom,Cole,Appropriations,
Mike,Collins,Natural Resources,
Mike,Collins,"Science, Space, and Technology",
Mike,Collins,Transportation and Infrastructure,
Susan,Collins,Committee on Appropriations,"Subcommittee on Agriculture, Rural Development, Food and Drug Administration, and Related Agencies"
Susan,Collins,Committee on Appropriations,"Subcommittee on Commerce, Justice, Science, and Related Agencies"
Susan,Collins,Committee on Appropriations,Subcommittee on Department of Defense
Susan,Collins,Committee on Appropriations,Subcommittee on Department of Homeland Security
Susan,Collins,Committee on Appropriations,"Subcommittee on Department of Interior, Environment, and Related Agencies"
Susan,Collins,Committee on Appropriations,"Subcommittee on Departments of Labor, Health and Human Services, and Education, and Related Agencies"
Susan,Collins,Committee on Appropriations,Subcommittee on Energy and Water Development
Susan,Collins,Committee on Appropriations,Subcommittee on Financial Services and General Government
Susan,Collins,Committee on Appropriations,Subcommittee on Legislative Branch
Susan,Collins,Committee on Appropriations,"Subcommittee on Military Construction, Veterans Affairs, and Related Agencies"
Susan,Collins,Committee on Appropriations,"Subcommittee on State, Foreign Operations, and Related Programs"
Susan,Collins,Committee on Appropriations,"Subcommittee on Transportation, Housing and Urban Development, and Related Agencies"
Susan,Collins,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Primary Health and Retirement Security
Susan,Collins,Select Committee on Intelligence,
James,Comer,Education and Workforce,
James,Comer,Oversight and Government Reform,
Herbert,Conaway,Small Business,
Herbert,Conaway,Veterans' Affairs,
Christopher,Coons,Committee on Appropriations,"Subcommittee on Commerce, Justice, Science, and Related Agencies"
Christopher,Coons,Committee on Appropriations,Subcommittee on Department of Defense
Christopher,Coons,Committee on Appropriations,Subcommittee on Energy and Water Development
Christopher,Coons,Committee on Appropriations,Subcommittee on Financial Services and General Government
Christopher,Coons,Committee on Appropriations,"Subcommittee on State, Foreign Operations, and Related Programs"
Christopher,Coons,Committee on Appropriations,"Subcommittee on Transportation, Housing and Urban Development, and Related Agencies"
Christopher,Coons,Committee on Foreign Relations,Subcommittee on Africa and Global Health Policy
Christopher,Coons,Committee on Foreign Relations,"Subcommittee on East Asia, the Pacific, and International Cybersecurity Policy"
Christopher,Coons,Committee on Foreign Relations,"Subcommittee on Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy"
Christopher,Coons,Committee on Foreign Relations,"Subcommittee on State Department and USAID Management, International Operations, and Bilateral International Development"
Christopher,Coons,Committee on Small Business and Entrepreneurship,
Christopher,Coons,Committee on the Judiciary,Subcommittee on Border Security and Immigration
Christopher,Coons,Committee on the Judiciary,Subcommittee on Crime and Counterterrorism
Christopher,Coons,Committee on the Judiciary,Subcommittee on Intellectual Property
Christopher,Coons,Committee on the Judiciary,"Subcommittee on Privacy, Technology, and the Law"
Christopher,Coons,Select Committee on Ethics,
John,Cornyn,Committee on Finance,"Subcommittee on Energy, Natural Resources, and Infrastructure"
John,Cornyn,Committee on Finance,"Subcommittee on International Trade, Customs, and Global Competitiveness"
John,Cornyn,Committee on Finance,Subcommittee on Taxation and IRS Oversight
John,Cornyn,Committee on Foreign Relations,Subcommittee on Africa and Global Health Policy
John,Cornyn,Committee on Foreign Relations,"Subcommittee on East Asia, the Pacific, and International Cybersecurity Policy"
