first_name,last_name,slug_name,slug_url,Top Contributor 1,amount 1,Top Contributor 2,amount 2,Top Contributor 3,amount 3,Top Industry 1,industry amount 1,Top Industry 2,industry amount 2,Top Industry 3,industry amount 3,Top Contributor 1,amount 1,Top Contributor 2,amount 2,Top Contributor 3,amount 3,Top Industry 1,industry amount 1,Top Industry 2,industry amount 2,Top Industry 3,industry amount 3,top_contributors,top_industries
John,Boozman,john-boozman,https://www.opensecrets.org/members-of-congress/john-boozman/summary?cid=N00013873,,,,,,,,,,,,,,,,,,,,,,,,,"Stephens Inc ($66,600); Pro-Israel America PAC ($64,500); National Republican Senatorial Cmte ($51,200); Tyson Foods ($46,250); McKee Foods ($39,400)","Crop Production & Basic Processing ($595,720); Securities & Investment ($562,131); Leadership PACs ($539,550); Real Estate ($375,814); Health Professionals ($374,139)"
Mike,Bost,mike-bost,https://www.opensecrets.org/members-of-congress/mike-bost/summary?cid=N00035420,,,,,,,,,,,,,,,,,,,,,,,,,"American Israel Public Affairs Cmte ($56,270); Veterans United Home Loans ($28,200); Melaleuca Inc ($26,400); Starkey Hearing Technologies ($24,800); Poettker Construction ($23,100)","Leadership PACs ($244,800); Retired ($166,810); Real Estate ($119,962); Crop Production & Basic Processing ($112,551); Lawyers/Law Firms ($108,633)"
Brendan F.,Boyle,brendan-f-boyle,https://www.opensecrets.org/members-of-congress/boyle-brendan/summary?cid=N00035307&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,"American Israel Public Affairs Cmte ($200,678); Massachusetts Mutual Life Insurance ($18,250); Select Medical Corp ($16,200); Service Employees International Union ($15,000); Blue Owl Capital ($13,200)","Pro-Israel ($209,978); Insurance ($132,775); Real Estate ($88,350); Health Professionals ($79,542); Securities & Investment ($73,539)"
Josh,Brecheen,josh-brecheen,https://www.opensecrets.org/members-of-congress/josh-brecheen/summary?cid=N00051106,,,,,,,,,,,,,,,,,,,,,,,,,"House Freedom Fund ($34,100); American Israel Public Affairs Cmte ($21,000); Club for Growth ($18,000); Hat 6 Ranch ($12,000); Lank PAC ($10,000)","Republican/Conservative ($59,720); Retired ($36,100); Leadership PACs ($35,000); Pro-Israel ($24,500); Misc Manufacturing & Distributing ($19,600)"
Robert P.,Bresnahan,robert-p-bresnahan,https://www.opensecrets.org/members-of-congress/summary?cid=N00053588&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,"TFP Ltd ($17,121); Starkey Hearing Technologies ($16,500); Geisinger Health Systems ($13,201); 4ram Polymers ($13,200); Elliott Management ($13,200)","Retired ($464,662); Leadership PACs ($346,700); Securities & Investment ($259,522); Republican/Conservative ($219,558); Candidate Committees ($136,925)"
Katie Boyd,Britt,katie-boyd-britt,https://www.opensecrets.org/members-of-congress/katie-britt/contributors?cid=N00048812&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,,
Shontel M.,Brown,shontel-m-brown,https://www.opensecrets.org/members-of-congress/brown-shontel/summary?cid=N00047875&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,"American Israel Public Affairs Cmte ($113,620); Transdigm Group ($23,200); Rms Investment Group ($23,100); Rock Holdings ($14,750); In-Depth Engineering ($13,200)","Pro-Israel ($124,770); Real Estate ($87,480); Crop Production & Basic Processing ($79,005); Securities & Investment ($69,794); Lawyers/Law Firms ($59,563)"
Julia,Brownley,julia-brownley,https://www.opensecrets.org/members-of-congress/julia-brownley/summary?cid=N00034254,,,,,,,,,,,,,,,,,,,,,,,,,"American Israel Public Affairs Cmte ($33,622); American Academy of Pediatric Dentistry ($15,000); Service Employees International Union ($15,000); JStreetPAC ($14,100); Rustic Canyon Partners ($13,200)","Retired ($151,931); Health Professionals ($101,005); Transportation Unions ($90,000); Lawyers/Law Firms ($70,184); Air Transport ($62,905)"
Vern,Buchanan,vern-buchanan,https://www.opensecrets.org/members-of-congress/buchanan-vernon/summary?cid=N00027626&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,"Select Medical Corp ($43,200); American Israel Public Affairs Cmte ($24,000); Florida Crystals ($16,100); Carnival Cruise Lines ($13,200); Derick Dermatology ($13,200)","Health Professionals ($209,621); Insurance ($129,030); Pharmaceuticals/Health Products ($125,205); Securities & Investment ($113,909); Hospitals/Nursing Homes ($109,016)"
Ted,Budd,ted-budd,https://www.opensecrets.org/members-of-congress/ted-budd/summary?cid=N00039551,,,,,,,,,,,,,,,,,,,,,,,,,"Club for Growth ($353,635); Senate Conservatives Fund ($210,695); Brighthouse Financial ($77,550); National Republican Senatorial Cmte ($51,200); Rdv Corp ($40,600)","Retired ($2,494,808); Republican/Conservative ($1,235,925); Real Estate ($852,081); Securities & Investment ($812,625); Leadership PACs ($454,200)"
Nikki,Budzinski,nikki-budzinski,https://www.opensecrets.org/members-of-congress/nikki-budzinski/summary?cid=N00049102,,,,,,,,,,,,,,,,,,,,,,,,,"State of Illinois ($70,190); JStreetPAC ($48,915); Simmons Hanly Conroy ($48,600); American Israel Public Affairs Cmte ($40,704); Marquis Energy ($32,300)","Lawyers/Law Firms ($369,281); Leadership PACs ($314,305); Retired ($241,299); Securities & Investment ($236,929); Lobbyists ($162,709)"
