name_map_first,name_map_last,name_map_middle,name_map_nick,want_state,matched,score,matched_target_key,matched_index_key,bioguide_id_transferred
Richard,Blumenthal,,,Connecticut,yes,100,dick blumenthal,dick blumenthal,B001277
Richard,Blumenthal,,,Connecticut,yes,100,dick blumenthal,dick blumenthal,B001277
Richard,Blumenthal,,,Connecticut,yes,100,dick blumenthal,dick blumenthal,B001277
Lisa,Blunt Rochester,,,Delaware,yes,100,lisa blunt rochester,lisa blunt rochester,B001303
Lisa,Blunt Rochester,,,Delaware,yes,100,lisa blunt rochester,lisa blunt rochester,B001303
Lisa,Blunt Rochester,,,Delaware,yes,100,lisa blunt rochester,lisa blunt rochester,B001303
Lisa,Blunt Rochester,,,Delaware,yes,100,lisa blunt rochester,lisa blunt rochester,B001303
Lisa,Blunt Rochester,,,Delaware,yes,100,lisa blunt rochester,lisa blunt rochester,B001303
Lauren,Boebert,,,Colorado,yes,100,lauren boebert,lauren boebert,B000825
Lauren,Boebert,,,Colorado,yes,100,lauren boebert,lauren boebert,B000825
Lauren,Boebert,,,Colorado,yes,100,lauren boebert,lauren boebert,B000825
Lauren,Boebert,,,Colorado,yes,100,lauren boebert,lauren boebert,B000825
Lauren,Boebert,,,Colorado,yes,100,lauren boebert,lauren boebert,B000825
Suzanne,Bonamici,,,Oregon,yes,100,suzanne bonamici,suzanne bonamici,B001278
Suzanne,Bonamici,,,Oregon,yes,100,suzanne bonamici,suzanne bonamici,B001278
Suzanne,Bonamici,,,Oregon,yes,100,suzanne bonamici,suzanne bonamici,B001278
Suzanne,Bonamici,,,Oregon,yes,100,suzanne bonamici,suzanne bonamici,B001278
Suzanne,Bonamici,,,Oregon,yes,100,suzanne bonamici,suzanne bonamici,B001278
Cory A.,Booker,,,New Jersey,yes,100,cory a  booker,cory booker,B001288
Cory A.,Booker,,,New Jersey,yes,100,cory a  booker,cory booker,B001288
Cory A.,Booker,,,New Jersey,yes,100,cory a  booker,cory booker,B001288
Cory A.,Booker,,,New Jersey,yes,100,cory a  booker,cory booker,B001288
Cory A.,Booker,,,New Jersey,yes,100,cory a  booker,cory booker,B001288
John,Boozman,,,Arkansas,yes,100,john boozman,john boozman,B001236
John,Boozman,,,Arkansas,yes,100,john boozman,john boozman,B001236
John,Boozman,,,Arkansas,yes,100,john boozman,john boozman,B001236
John,Boozman,,,Arkansas,yes,100,john boozman,john boozman,B001236
John,Boozman,,,Arkansas,yes,100,john boozman,john boozman,B001236
Mike,Bost,,,Illinois,yes,100,michael bost,michael bost,B001295
Mike,Bost,,,Illinois,yes,100,michael bost,michael bost,B001295
Mike,Bost,,,Illinois,yes,100,michael bost,michael bost,B001295
Mike,Bost,,,Illinois,yes,100,michael bost,michael bost,B001295
Mike,Bost,,,Illinois,yes,100,michael bost,michael bost,B001295
Brendan F.,Boyle,,,Pennsylvania,yes,100,brendan f  boyle,brendan boyle,B001296
Brendan F.,Boyle,,,Pennsylvania,yes,100,brendan f  boyle,brendan boyle,B001296
Brendan F.,Boyle,,,Pennsylvania,yes,100,brendan f  boyle,brendan boyle,B001296
Brendan F.,Boyle,,,Pennsylvania,yes,100,brendan f  boyle,brendan boyle,B001296
Brendan F.,Boyle,,,Pennsylvania,yes,100,brendan f  boyle,brendan boyle,B001296
Josh,Brecheen,,,Oklahoma,yes,100,josh brecheen,josh brecheen,B001317
Josh,Brecheen,,,Oklahoma,yes,100,josh brecheen,josh brecheen,B001317
Josh,Brecheen,,,Oklahoma,yes,100,josh brecheen,josh brecheen,B001317
Josh,Brecheen,,,Oklahoma,yes,100,josh brecheen,josh brecheen,B001317
Josh,Brecheen,,,Oklahoma,yes,100,josh brecheen,josh brecheen,B001317
Robert P.,Bresnahan,,,Pennsylvania,yes,100,robert p  bresnahan,robert p  bresnahan,B001327
Robert P.,Bresnahan,,,Pennsylvania,yes,100,robert p  bresnahan,robert p  bresnahan,B001327
Robert P.,Bresnahan,,,Pennsylvania,yes,100,robert p  bresnahan,robert p  bresnahan,B001327
Robert P.,Bresnahan,,,Pennsylvania,yes,100,robert p  bresnahan,robert p  bresnahan,B001327
Robert P.,Bresnahan,,,Pennsylvania,yes,100,robert p  bresnahan,robert p  bresnahan,B001327
Katie Boyd,Britt,,,Alabama,yes,100,katie boyd britt,katie boyd britt,B001319
Katie Boyd,Britt,,,Alabama,yes,100,katie boyd britt,katie boyd britt,B001319
Katie Boyd,Britt,,,Alabama,yes,100,katie boyd britt,katie boyd britt,B001319
Katie Boyd,Britt,,,Alabama,yes,100,katie boyd britt,katie boyd britt,B001319
Katie Boyd,Britt,,,Alabama,yes,100,katie boyd britt,katie boyd britt,B001319
Shontel M.,Brown,,,Ohio,yes,100,shontel m  brown,shontel brown,B001313
Shontel M.,Brown,,,Ohio,yes,100,shontel m  brown,shontel brown,B001313
Shontel M.,Brown,,,Ohio,yes,100,shontel m  brown,shontel brown,B001313
Shontel M.,Brown,,,Ohio,yes,100,shontel m  brown,shontel brown,B001313
Shontel M.,Brown,,,Ohio,yes,100,shontel m  brown,shontel brown,B001313
Julia,Brownley,,,California,yes,100,julia brownley,julia brownley,B001285
Julia,Brownley,,,California,yes,100,julia brownley,julia brownley,B001285
Julia,Brownley,,,California,yes,100,julia brownley,julia brownley,B001285
Julia,Brownley,,,California,yes,100,julia brownley,julia brownley,B001285
Julia,Brownley,,,California,yes,100,julia brownley,julia brownley,B001285
Vern,Buchanan,,,Florida,yes,92,vern buchanan,vernon buchanan,B001260
Vern,Buchanan,,,Florida,yes,92,vern buchanan,vernon buchanan,B001260
Vern,Buchanan,,,Florida,yes,92,vern buchanan,vernon buchanan,B001260
Vern,Buchanan,,,Florida,yes,92,vern buchanan,vernon buchanan,B001260
Vern,Buchanan,,,Florida,yes,92,vern buchanan,vernon buchanan,B001260
Ted,Budd,,,North Carolina,yes,100,ted budd,ted budd,B001305
Ted,Budd,,,North Carolina,yes,100,ted budd,ted budd,B001305
Ted,Budd,,,North Carolina,yes,100,ted budd,ted budd,B001305
Ted,Budd,,,North Carolina,yes,100,ted budd,ted budd,B001305
Ted,Budd,,,North Carolina,yes,100,ted budd,ted budd,B001305
Nikki,Budzinski,,,Illinois,yes,100,nikki budzinski,nikki budzinski,B001315
Nikki,Budzinski,,,Illinois,yes,100,nikki budzinski,nikki budzinski,B001315
Nikki,Budzinski,,,Illinois,yes,100,nikki budzinski,nikki budzinski,B001315
Nikki,Budzinski,,,Illinois,yes,100,nikki budzinski,nikki budzinski,B001315
Nikki,Budzinski,,,Illinois,yes,100,nikki budzinski,nikki budzinski,B001315
Tim,Burchett,,,Tennessee,no,0,,,
Tim,Burchett,,,Tennessee,no,0,,,
Tim,Burchett,,,Tennessee,no,0,,,
Tim,Burchett,,,Tennessee,no,0,,,
Tim,Burchett,,,Tennessee,no,0,,,
Eric,Burlison,,,Missouri,yes,100,eric burlison,eric burlison,B001316
Eric,Burlison,,,Missouri,yes,100,eric burlison,eric burlison,B001316
Eric,Burlison,,,Missouri,yes,100,eric burlison,eric burlison,B001316
Eric,Burlison,,,Missouri,yes,100,eric burlison,eric burlison,B001316
Eric,Burlison,,,Missouri,yes,100,eric burlison,eric burlison,B001316
Janelle S.,Bynum,,,Oregon,yes,100,janelle s  bynum,janelle s  bynum,B001326
Janelle S.,Bynum,,,Oregon,yes,100,janelle s  bynum,janelle s  bynum,B001326
Janelle S.,Bynum,,,Oregon,yes,100,janelle s  bynum,janelle s  bynum,B001326
Janelle S.,Bynum,,,Oregon,yes,100,janelle s  bynum,janelle s  bynum,B001326
Janelle S.,Bynum,,,Oregon,yes,100,janelle s  bynum,janelle s  bynum,B001326
Ken,Calvert,,,California,yes,100,ken calvert,ken calvert,C000059
Ken,Calvert,,,California,yes,100,ken calvert,ken calvert,C000059
Ken,Calvert,,,California,yes,100,ken calvert,ken calvert,C000059
Ken,Calvert,,,California,yes,100,ken calvert,ken calvert,C000059
Ken,Calvert,,,California,yes,100,ken calvert,ken calvert,C000059
Kat,Cammack,,,Florida,yes,100,catherine cammack,catherine cammack,C001039
Kat,Cammack,,,Florida,yes,100,catherine cammack,catherine cammack,C001039
Kat,Cammack,,,Florida,yes,100,catherine cammack,catherine cammack,C001039
Kat,Cammack,,,Florida,yes,100,catherine cammack,catherine cammack,C001039
Kat,Cammack,,,Florida,yes,100,catherine cammack,catherine cammack,C001039
Maria,Cantwell,,,Washington,yes,100,maria cantwell,maria cantwell,C000127
Maria,Cantwell,,,Washington,yes,100,maria cantwell,maria cantwell,C000127
Maria,Cantwell,,,Washington,yes,100,maria cantwell,maria cantwell,C000127
Maria,Cantwell,,,Washington,yes,100,maria cantwell,maria cantwell,C000127
Maria,Cantwell,,,Washington,yes,100,maria cantwell,maria cantwell,C000127
Shelley Moore,Capito,,,West Virginia,yes,100,shelley moore capito,shelley moore capito,C001047
Shelley Moore,Capito,,,West Virginia,yes,100,shelley moore capito,shelley moore capito,C001047
Shelley Moore,Capito,,,West Virginia,yes,100,shelley moore capito,shelley moore capito,C001047
Shelley Moore,Capito,,,West Virginia,yes,100,shelley moore capito,shelley moore capito,C001047
Shelley Moore,Capito,,,West Virginia,yes,100,shelley moore capito,shelley moore capito,C001047
Salud O.,Carbajal,,,California,yes,100,salud o  carbajal,salud carbajal,C001112
Salud O.,Carbajal,,,California,yes,100,salud o  carbajal,salud carbajal,C001112
Salud O.,Carbajal,,,California,yes,100,salud o  carbajal,salud carbajal,C001112
Salud O.,Carbajal,,,California,yes,100,salud o  carbajal,salud carbajal,C001112
Salud O.,Carbajal,,,California,yes,100,salud o  carbajal,salud carbajal,C001112
Mike,Carey,,,Ohio,yes,100,michael carey,michael carey,C001126
Mike,Carey,,,Ohio,yes,100,michael carey,michael carey,C001126
Mike,Carey,,,Ohio,yes,100,michael carey,michael carey,C001126
Mike,Carey,,,Ohio,yes,100,michael carey,michael carey,C001126
Mike,Carey,,,Ohio,yes,100,michael carey,michael carey,C001126
André,Carson,,,Indiana,yes,100,andre carson,andre carson,C001072
André,Carson,,,Indiana,yes,100,andre carson,andre carson,C001072
André,Carson,,,Indiana,yes,100,andre carson,andre carson,C001072
André,Carson,,,Indiana,yes,100,andre carson,andre carson,C001072
André,Carson,,,Indiana,yes,100,andre carson,andre carson,C001072
"Earl L. ""Buddy""",Carter,,,Georgia,yes,100,earl l buddy  carter,buddy carter,C001103
John R.,Carter,,,Texas,yes,100,john r  carter,john r  carter,C001051
Troy A.,Carter,,,Louisiana,yes,100,troy a  carter,troy carter,C001125
"Earl L. ""Buddy""",Carter,,,Georgia,yes,100,earl l buddy  carter,buddy carter,C001103
John R.,Carter,,,Texas,yes,100,john r  carter,john r  carter,C001051
Troy A.,Carter,,,Louisiana,yes,100,troy a  carter,troy carter,C001125
"Earl L. ""Buddy""",Carter,,,Georgia,yes,100,earl l buddy  carter,buddy carter,C001103
John R.,Carter,,,Texas,yes,100,john r  carter,john r  carter,C001051
Troy A.,Carter,,,Louisiana,yes,100,troy a  carter,troy carter,C001125
"Earl L. ""Buddy""",Carter,,,Georgia,yes,100,earl l buddy  carter,buddy carter,C001103
John R.,Carter,,,Texas,yes,100,john r  carter,john r  carter,C001051
Troy A.,Carter,,,Louisiana,yes,100,troy a  carter,troy carter,C001125
"Earl L. ""Buddy""",Carter,,,Georgia,yes,100,earl l buddy  carter,buddy carter,C001103
John R.,Carter,,,Texas,yes,100,john r  carter,john r  carter,C001051
Troy A.,Carter,,,Louisiana,yes,100,troy a  carter,troy carter,C001125
Greg,Casar,,,Texas,yes,100,greg casar,greg casar,C001131
Greg,Casar,,,Texas,yes,100,greg casar,greg casar,C001131
Greg,Casar,,,Texas,yes,100,greg casar,greg casar,C001131
Greg,Casar,,,Texas,yes,100,greg casar,greg casar,C001131
Greg,Casar,,,Texas,yes,100,greg casar,greg casar,C001131
Ed,Case,,,Hawaii,yes,100,ed case,ed case,C001055
Ed,Case,,,Hawaii,yes,100,ed case,ed case,C001055
Ed,Case,,,Hawaii,yes,100,ed case,ed case,C001055
Ed,Case,,,Hawaii,yes,100,ed case,ed case,C001055
Ed,Case,,,Hawaii,yes,100,ed case,ed case,C001055
Bill,Cassidy,,,Louisiana,yes,100,bill cassidy,bill cassidy,C001075
Bill,Cassidy,,,Louisiana,yes,100,bill cassidy,bill cassidy,C001075
