first_name,last_name,slug_name,slug_url
Paul A.,Gosar,paul-a-gosar,https://www.opensecrets.org/members-of-congress/gosar-paul/summary?cid=N00030771&cycle=2024
Josh,Gottheimer,josh-gottheimer,https://www.opensecrets.org/members-of-congress/josh-gottheimer/summary?cid=N00036944
Lindsey,Graham,lindsey-graham,https://www.opensecrets.org/members-of-congress/graham-lindsey/summary?cid=N00009975&cycle=2024
Chuck,Grassley,chuck-grassley,https://www.opensecrets.org/members-of-congress/chuck-grassley/summary?cid=N00001758
Sam,Graves,sam-graves,https://www.opensecrets.org/members-of-congress/sam-graves/summary?cid=N00013323
Adam,Gray,adam-gray,https://www.opensecrets.org/members-of-congress/adam-gray/summary?cid=N00050061
Al,Green,al-green,https://www.opensecrets.org/members-of-congress/al-green/summary?cid=N00026686
Mark E.,Green,mark-e-green,https://www.opensecrets.org/members-of-congress/green-mark/summary?cid=N00041873&cycle=2024
Marjorie Taylor,Greene,marjorie-taylor-greene,https://www.opensecrets.org/members-of-congress/marjorie-taylor-greene/summary?cid=N00044701
H. Morgan,Griffith,h-morgan-griffith,https://www.opensecrets.org/members-of-congress/griffith-morgan/summary?cid=N00032029&cycle=2024
Raúl M.,Grijalva,ral-m-grijalva,https://www.opensecrets.org/members-of-congress/grijalva-raul-m/summary?cid=N00025284&cycle=2024
Glenn,Grothman,glenn-grothman,https://www.opensecrets.org/members-of-congress/glenn-grothman/summary?cid=N00036409
Michael,Guest,michael-guest,https://www.opensecrets.org/members-of-congress/michael-guest/summary?cid=N00042458
Brett,Guthrie,brett-guthrie,https://www.opensecrets.org/members-of-congress/brett-guthrie/summary?cid=N00029675
Harriet M.,Hageman,harriet-m-hageman,https://www.opensecrets.org/members-of-congress/hageman-harriet/summary?cid=N00049197&cycle=2024
Bill,Hagerty,bill-hagerty,https://www.opensecrets.org/members-of-congress/hagerty-bill/summary?cid=N00045369&cycle=2024
Abraham J.,Hamadeh,abraham-j-hamadeh,https://www.opensecrets.org/members-of-congress/industries?cid=N00053795&cycle=2024
Josh,Harder,josh-harder,https://www.opensecrets.org/members-of-congress/josh-harder/summary?cid=N00040853
Mike,Haridopolos,mike-haridopolos,https://www.opensecrets.org/officeholders/mike-haridopolos/contributors?cycle=2009&id=2046887
Pat,Harrigan,pat-harrigan,https://www.opensecrets.org/members-of-congress/pat-harrigan/summary?cid=N00050144
Andy,Harris,andy-harris,https://www.opensecrets.org/members-of-congress/andy-harris/summary?cid=N00029147
Mark,Harris,mark-harris,https://www.opensecrets.org/campaign-expenditures/vendor?year=2024&vendor=Mark%20Harris%20for%20Congress
Diana,Harshbarger,diana-harshbarger,https://www.opensecrets.org/members-of-congress/diana-harshbarger/summary?cid=N00046688
Margaret Wood,Hassan,margaret-wood-hassan,https://www.opensecrets.org/members-of-congress/hassan-maggie/summary?cid=N00038397&cycle=2024
Josh,Hawley,josh-hawley,https://www.opensecrets.org/members-of-congress/hawley-josh/summary?cid=N00041620&cycle=2024
Jahana,Hayes,jahana-hayes,https://www.opensecrets.org/members-of-congress/jahana-hayes/summary?cid=N00043421
Martin,Heinrich,martin-heinrich,https://www.opensecrets.org/members-of-congress/heinrich-martin/summary?cid=N00029835&cycle=2024
Kevin,Hern,kevin-hern,https://www.opensecrets.org/members-of-congress/kevin-hern/summary?cid=N00040829
Pablo Jose,Hernández,pablo-jose-hernandez,
John W.,Hickenlooper,john-w-hickenlooper,https://www.opensecrets.org/members-of-congress/hickenlooper-john/summary?cid=N00044206&cycle=2024
Clay,Higgins,clay-higgins,https://www.opensecrets.org/members-of-congress/clay-higgins/summary?cid=N00039953
J. French,Hill,j-french-hill,https://www.opensecrets.org/members-of-congress/hill-french/summary?cid=N00035792&cycle=2024
James A.,Himes,james-a-himes,https://www.opensecrets.org/members-of-congress/himes-jim/summary?cid=N00029070&cycle=2024
Ashley,Hinson,ashley-hinson,https://www.opensecrets.org/members-of-congress/ashley-hinson/summary?cid=N00044521
Mazie K.,Hirono,mazie-k-hirono,https://www.opensecrets.org/members-of-congress/hirono-mazie-k/summary?cid=N00028139&cycle=2024
John,Hoeven,john-hoeven,https://www.opensecrets.org/members-of-congress/john-hoeven/summary?cid=N00031688
Steven,Horsford,steven-horsford,https://www.opensecrets.org/members-of-congress/steven-horsford/summary?cid=N00033638
Erin,Houchin,erin-houchin,https://www.opensecrets.org/members-of-congress/erin-houchin/summary?cid=N00037427
Chrissy,Houlahan,chrissy-houlahan,https://www.opensecrets.org/members-of-congress/chrissy-houlahan/summary?cid=N00040949
Steny H.,Hoyer,steny-h-hoyer,https://www.opensecrets.org/members-of-congress/hoyer-steny-h/summary?cid=N00001821&cycle=2024
Val T.,Hoyle,val-t-hoyle,https://www.opensecrets.org/members-of-congress/hoyle-val/summary?cid=N00049734&cycle=2024
Richard,Hudson,richard-hudson,https://www.opensecrets.org/members-of-congress/richard-hudson/summary?cid=N00033630
Jared,Huffman,jared-huffman,https://www.opensecrets.org/members-of-congress/jared-huffman/summary?cid=N00033030
Bill,Huizenga,bill-huizenga,https://www.opensecrets.org/members-of-congress/bill-huizenga/summary?cid=N00030673
Wesley,Hunt,wesley-hunt,https://www.opensecrets.org/members-of-congress/wesley-hunt/summary?cid=N00044362
Jeff,Hurd,jeff-hurd,https://www.opensecrets.org/campaign-expenditures/vendor?vendor=Jeff+Hurd+for+Congress&year=2024
Jon,Husted,jon-husted,https://www.opensecrets.org/officeholders/jon-husted/contributors?cycle=2024&id=2753619
Cindy,Hyde-Smith,cindy-hyde-smith,https://www.opensecrets.org/members-of-congress/hyde-smith-cindy/summary?cid=N00043298&cycle=2024
Darrell,Issa,darrell-issa,https://www.opensecrets.org/members-of-congress/darrell-issa/summary?cid=N00007017
Glenn,Ivey,glenn-ivey,https://www.opensecrets.org/members-of-congress/glenn-ivey/summary?cid=N00033749
